날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-03-28,41150,"하락
				450",41600,41650,40500,728635,41950.0,43200.0,,45.00425896295325,187.6043685021432,591.0525860465095,-403.44821754436634,2531176.0,0.2878642180551649,False,False,False,False
2025-03-31,39100,"하락
				2,050",40250,40700,39100,1711143,41390.0,42997.5,,38.06551159589362,-97.38632130388578,453.3648045764305,-550.7511258803163,2287178.65,0.7481457559076113,False,False,False,False
2025-04-01,42200,"상승
				3,100",39600,42450,39600,2570592,41390.0,43012.5,,50.495361174596,-72.26636236212653,348.2385711887191,-420.50493355084564,2246313.85,1.144360125812339,False,False,False,False
2025-04-02,40900,"하락
				1,300",42300,42350,40700,1549771,40990.0,42902.5,,46.29901407779033,-155.46563826402416,247.49772929817047,-402.96336756219466,2197549.3,0.7052269544078034,False,False,False,False
2025-04-03,42850,"상승
				1,950",40000,42900,40000,2508882,41240.0,42790.0,,52.654832999150926,-63.32301239498338,185.33358095953972,-248.6565933545231,2013955.05,1.2457487569049766,False,False,False,False
2025-04-04,41850,"하락
				1,000",42600,44750,40950,4844975,41380.0,42695.0,,49.42426038381831,-70.18194640192087,134.23047548724762,-204.41242188916848,2101245.75,2.305763140746388,True,False,False,False
2025-04-07,40650,"하락
				1,200",40450,41750,39500,2124791,41690.0,42457.5,,45.79339583877245,-170.48245656231302,73.28788907733549,-243.7703456396485,2006955.7,1.058713453416037,False,False,False,False
2025-04-08,39050,"하락
				1,600",41450,41500,39000,2588453,41060.0,42205.0,40820.833333333336,41.423782204627855,-374.75798496077186,-16.321285730285982,-358.4366992304859,2012050.8,1.286474973693507,False,False,False,False
2025-04-09,37150,"하락
				1,900",38250,39650,36950,1861781,40310.0,41857.5,40816.666666666664,36.918679942750785,-682.0991199172786,-149.47685256768452,-532.622267349594,2006322.15,0.927957157827321,False,False,False,False
2025-04-10,40000,"상승
				2,850",39100,40000,38200,1977485,39740.0,41700.0,40863.333333333336,46.344979026804005,-687.7698197274512,-257.1354459996379,-430.63437372781334,1941723.7,1.0184172959314448,False,False,False,False
2025-04-11,39000,"하락
				1,000",38750,39050,38200,1364871,39170.0,41477.5,40904.166666666664,43.867968843521744,-764.1469227727139,-358.5377413542531,-405.60918141846076,1923287.1,0.709655360346357,False,False,False,False
2025-04-14,39000,보합0,39150,39750,38950,962491,38840.0,41252.5,40945.833333333336,43.867968843521744,-815.2783063805691,-449.8858543595163,-365.3924520210528,1886744.25,0.5101332626295271,False,False,False,False
2025-04-15,38850,"하락
				150",39150,39350,38750,1049886,38800.0,40995.0,40979.166666666664,43.463845556568444,-858.0133983083142,-531.5113631492759,-326.5020351590383,1815468.05,0.5783004553564024,False,False,False,False
2025-04-16,37750,"하락
				1,100",38900,38950,37600,1386130,38920.0,40717.5,40991.666666666664,40.516162632715,-969.4666652225496,-619.1024235639306,-350.364241658619,1802646.05,0.7689418563339153,False,False,False,False
2025-04-17,38200,"상승
				450",37800,38400,37800,845939,38560.0,40495.0,41013.333333333336,42.2418819586482,-1009.842111776743,-697.2503612064932,-312.5917505702498,1756869.95,0.4815034829413526,False,False,False,False
2025-04-18,39000,"상승
				800",38300,39150,38100,841087,38560.0,40265.0,41056.666666666664,45.281158617450245,-966.1494603673345,-751.0301810386615,-215.1192793286731,1703887.85,0.49362814577262226,False,False,False,False
2025-04-21,38900,"하락
				100",39250,39350,38750,464726,38540.0,40115.0,41097.5,44.962662663814115,-928.8842837888224,-786.6010015886936,-142.28328220012872,1637489.5,0.2838039572162142,False,False,False,False
2025-04-22,39200,"상승
				300",38550,40150,38425,1247375,38610.0,39965.0,41143.333333333336,46.18556317421255,-865.1707205573548,-802.3149453824259,-62.85577517492891,1658503.3,0.7521088441608769,False,False,False,False
2025-04-23,39400,"상승
				200",39650,39700,39150,687852,38940.0,39790.0,41195.0,47.03055509666789,-789.4387753411647,-799.7397113741737,10.300936033008952,1633850.9,0.4210004719524897,False,False,False,True
2025-04-24,39450,"상승
				50",39650,39775,39250,497262,39190.0,39682.5,41256.666666666664,47.25353811160648,-717.1195729599203,-783.2156836913231,66.09611073140275,1590706.35,0.31260452314155907,False,False,False,False
